row ID,row m/z,row retention time,오미자 중국1,오미자 중국2,오미자 중국3,오미자 중국4,오미자 중국5,오미자 중국6,오미자 중국7,오미자 중국8,오미자 중국9,오미자 중국10,오미자 중국11,오미자 중국12,오미자 중국13,오미자 중국14,오미자 중국15,오미자 중국16,오미자 중국17,오미자 중국18,오미자 중국19,오미자 중국20,오미자 중국21,오미자 중국22,오미자 중국23,오미자 중국24,오미자 중국25,오미자 중국26,오미자 중국27,오미자 한국1,오미자 한국2,오미자 한국3,오미자 한국4,오미자 한국5,오미자 한국6,오미자 한국7,오미자 한국8,오미자 한국9,오미자 한국10,오미자 한국11,오미자 한국12,오미자 한국13,오미자 한국14,오미자 한국15,오미자 한국16,오미자 한국17,오미자 한국18,오미자 한국19,오미자 한국20,오미자 한국21,오미자 한국22,오미자 한국23,오미자 한국24,오미자 한국25,오미자 한국26,오미자 한국27,오미자 한국28,오미자 한국29,오미자 한국30
71,133.0221717,36.07784514,0,0,2233254.737,2110796.85,0,0,0,0,1949694.635,2322246.588,1835370.494,0,0,0,0,0,0,0,488104.995,0,538414.051,0,0,1843950.829,0,2304703.169,1203712.638,3157537.109,0,0,0,2701480.8,4224609.174,4230783.592,3420734.241,3963121.339,3993515.699,3174405.418,2755832.488,2776361.209,0,0,0,0,0,3086027.195,3243291.78,0,0,0,0,0,0,3263227.578,0,3555571.602,0
72,133.0413097,38.38619924,2412419.965,240994.028,347683.462,351034.232,182489.71,230096.815,0,233877.038,0,399972.676,375650.106,479305.986,2127897.706,295450.7,1186582.512,192670.013,273422.479,391539.269,0,365590.454,190246.791,0,0,282577.799,0,474859.892,973949.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995208.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,133.0340101,38.80630381,1188682.805,0,888270.081,820980.801,0,0,253553.444,0,310317.108,188616.612,163470.788,232565.043,0,0,541162.65,0,0,181914.315,272680.109,154609.854,0,0,0,0,0,208560.323,426591.026,1029521.795,0,619771.896,1025995.587,878513.256,0,0,866059.64,1023835.027,962603.09,305172.155,0,1093382.735,808156.198,0,0,0,0,451187.034,1108243.986,929107.493,1208421.609,0,1250501.793,1093727.499,840615.828,488003.256,743173.529,575650.073,1196365.769
74,141.0607726,35.80488519,0,161482.591,150078.856,0,0,152600.9,0,135102.679,0,194103.906,206391.228,0,0,0,0,0,0,0,0,160369.444,0,224268.891,0,183578.715,0,329561.769,262020.42,0,0,0,0,151321.159,217452.681,348215.913,276625.561,317920.033,301780.034,0,302486.727,286252.804,0,316567.737,332486.202,0,0,0,278572.761,278564.946,0,342548.033,345657.697,0,293225.308,0,307030.321,0,0
75,141.0399083,36.01908333,0,0,323785.326,0,0,0,0,0,0,362413.178,306736.075,246725.36,242934.773,0,0,0,0,0,0,0,131324.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477166.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,143.0352887,32.49741548,0,266181.533,195276.465,156512.986,0,0,0,0,154144.934,0,193794.568,0,0,0,0,0,229880.422,0,272746.815,0,0,129203.312,0,275496.248,0,239802.513,210016.297,0,0,0,0,0,92564.531,111593,0,0,0,0,0,0,0,117394.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,147.0511271,8.959319444,0,0,0,0,0,0,0,0,0,0,75561.005,0,0,143794.092,0,98507.065,78325.931,0,82939.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81988.229,0
78,147.0567264,32.48118926,0,2763509.762,2191545.856,1854262.592,0,0,869911.996,0,1620076.354,0,1968291.405,1013680.903,477924.997,472470.08,412114.193,0,2450106.717,270557.554,2806195.609,0,0,1482249.684,0,2928380.439,0,2521005.209,2304443.376,846572.6,1218276.09,887123.362,1305203.85,503301.512,1203491.319,1210639.444,878126.608,1096281.457,973641.006,1041343.244,998475.187,936877.339,849310.531,1281411.09,0,0,962339.138,762214.564,711140.431,817205.072,972356.193,1165705.512,1250898.872,2133588.625,2354237.817,2119154.995,2310922.097,2038393.279,2581541.375
79,147.0571264,33.59913373,0,713646.829,858980.644,750878.669,386989.646,626603.685,364521.687,453245.732,786687.916,0,819313.124,460536.208,287946.288,312831.48,224615.89,0,618007.469,144683.937,803202.476,632239.349,0,303433.095,0,0,0,649828.876,708079.348,0,370779.303,298475.744,399208.485,138127.13,409786.689,325954.022,232992.074,306724.591,0,290868.87,277824.278,244906.293,317834.157,387770.919,0,0,277573.888,238152.397,269111.721,232876.569,0,0,0,0,1061184.023,944719.128,1024724.683,1006101.091,1206463.078
80,147.0572766,35.70040909,66246.785,0,4498045.415,3726297.768,0,0,0,0,0,0,5384434.122,3633725.984,0,943885.832,2971438.553,559477.622,0,1143907.961,0,0,0,464612.842,0,0,203613.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
